id_tienda,nombre,stock_actual,forecast_demand,order_quantity
STORE_01,Tinto,1,20.93,20.0
STORE_01,Café con Leche,10,55.39,45.0
STORE_01,Cappuccino,33,59.19,26.0
STORE_01,Pan de Bono,11,44.43,33.0
STORE_01,Buñuelo,3,75.89,73.0
STORE_01,Croissant,13,93.35,80.0
STORE_01,Pastel de Pollo,8,111.77,104.0
STORE_01,Jugo de Naranja,13,93.32,80.0
STORE_02,Tinto,9,64.6,56.0
STORE_02,Café con Leche,20,94.93,75.0
STORE_02,Cappuccino,32,91.52,60.0
STORE_02,Pan de Bono,43,57.57,15.0
STORE_02,Buñuelo,27,141.75,115.0
STORE_02,Croissant,8,104.26,96.0
STORE_02,Pastel de Pollo,11,153.84,143.0
STORE_02,Jugo de Naranja,20,145.19,125.0
STORE_03,Tinto,4,81.82,78.0
STORE_03,Café con Leche,24,71.11,47.0
STORE_03,Cappuccino,20,87.81,68.0
STORE_03,Pan de Bono,21,48.31,27.0
STORE_03,Buñuelo,8,167.58,160.0
STORE_03,Croissant,18,163.47,145.0
STORE_03,Pastel de Pollo,4,209.11,205.0
STORE_03,Jugo de Naranja,4,149.27,145.0
STORE_04,Tinto,29,69.27,40.0
STORE_04,Café con Leche,9,95.58,87.0
STORE_04,Cappuccino,15,75.46,60.0
STORE_04,Pan de Bono,6,36.52,31.0
STORE_04,Buñuelo,5,170.19,165.0
STORE_04,Croissant,30,210.54,181.0
STORE_04,Pastel de Pollo,31,98.73,68.0
STORE_04,Jugo de Naranja,36,235.14,199.0
STORE_05,Tinto,38,53.15,15.0
STORE_05,Café con Leche,10,54.53,45.0
STORE_05,Cappuccino,33,133.24,100.0
STORE_05,Pan de Bono,8,34.24,26.0
STORE_05,Buñuelo,1,132.57,132.0
STORE_05,Croissant,23,199.79,177.0
STORE_05,Pastel de Pollo,4,134.28,130.0
STORE_05,Jugo de Naranja,12,198.6,187.0
STORE_06,Tinto,3,32.21,29.0
STORE_06,Café con Leche,9,84.36,75.0
